rock_type,geological_structure,joint_spacing_cm,weathering_grade,presence_of_clay_seams,slope_angle_degrees,bench_height_m,slope_aspect_degrees,bench_width_m,annual_rainfall_mm,pore_water_pressure_kPa,seepage_presence,seismic_activity,blast_vibration_intensity_mm_s,blast_frequency_per_month,time_since_last_rockfall_days,rockfall_event,rockfall_risk,high_risk_flag
limestone,fault,75,highly weathered,1,66,6,45,14,2303,90,1,0,42,9,20,1,0.91,1
basalt,joint,75,fresh,0,55,7,90,10,937,20,1,0,25,6,120,0,0.02,0
granite,fault,85,slightly weathered,0,66,9,130,10,1901,25,1,1,38,7,105,0,0.12,0
granite,dyke,50,slightly weathered,0,58,9,210,7,2106,95,1,0,38,10,45,1,0.83,1
sandstone,fault,65,slightly weathered,1,71,13,90,6,2200,75,1,0,27,8,45,0,0.15,0
basalt,dyke,78,slightly weathered,0,59,15,240,8,1250,35,0,0,27,5,135,0,0.01,0
granite,dyke,73,slightly weathered,1,67,10,82,9,2311,52,1,1,37,9,55,1,0.77,1
granite,fault,55,slightly weathered,1,63,6,80,7,2114,70,1,1,33,7,75,1,0.6,0
basalt,joint,40,fresh,0,55,12,120,9,1802,20,0,1,45,10,60,0,0.22,0
limestone,dyke,30,fresh,1,67,10,75,7,1451,30,0,1,32,11,120,0,0.14,0
sandstone,fault,25,fresh,0,48,6,90,8,959,10,0,0,16,4,170,0,0.0,0
basalt,fault,50,slightly weathered,0,66,11,290,9,1750,65,1,0,42,11,110,0,0.13,0
granite,fault,65,slightly weathered,0,60,8,70,7,1500,40,0,1,28,6,75,0,0.01,0
granite,fault,40,slightly weathered,0,68,12,305,10,1800,46,1,0,25,8,45,0,0.23,0
limestone,joint,65,highly weathered,1,66,7,150,10,2301,90,1,0,22,5,150,0,0.12,0
basalt,fault,70,fresh,0,67,8,86,10,2307,20,0,1,40,9,90,0,0.22,0
granite,fault,80,fresh,0,66,7,190,10,1417,10,0,0,33,4,170,0,0.06,0
basalt,joint,65,slightly weathered,0,70,10,220,12,1601,50,0,1,40,9,45,1,0.87,1
sandstone,fault,60,fresh,0,52,9,200,7,2103,20,0,0,19,5,130,0,0.01,0
sandstone,bedding plane,72,highly weathered,1,50,7,100,9,950,86,1,0,19,9,165,0,0.01,0
basalt,dyke,80,slightly weathered,0,65,9,270,12,1600,20,0,1,42,10,20,0,0.15,0
sandstone,joint,80,highly weathered,1,68,9,90,7,2122,80,1,1,35,6,90,1,0.82,1
granite,fault,35,highly weathered,0,65,14,120,12,2203,90,1,1,45,11,120,1,0.96,1
sandstone,fault,58,slightly weathered,0,59,10,60,12,1002,35,0,0,16,7,134,0,0.0,0
sandstone,fault,60,fresh,0,45,8,135,10,1700,65,0,0,12,9,30,0,0.04,0
limestone,fault,42,highly weathered,1,69,9,180,6,1700,80,1,1,18,5,10,1,0.89,1
granite,fault,58,fresh,0,74,5,200,13,2200,66,1,1,34,10,103,1,0.84,1
granite,dyke,85,highly weathered,1,68,14,135,14,2111,60,1,0,30,10,60,0,0.14,0
limestone,bedding plane,45,slightly weathered,1,72,10,182,8,2200,72,1,0,30,8,45,0,0.14,0
granite,fault,45,highly weathered,1,69,13,180,9,1556,80,1,0,39,11,80,1,0.85,1
sandstone,joint,65,slightly weathered,0,57,13,80,11,1501,40,0,1,22,6,180,0,0.04,0
granite,fault,80,slightly weathered,0,68,14,125,6,2029,70,1,0,45,9,12,1,0.88,1
granite,fault,18,fresh,0,73,13,185,11,1401,25,0,0,20,7,78,0,0.01,0
basalt,bedding plane,85,slightly weathered,0,74,8,100,9,1659,20,0,1,30,6,23,0,0.07,0
granite,fault,65,slightly weathered,0,63,7,270,9,1907,45,1,0,37,9,105,0,0.06,0
basalt,dyke,50,fresh,0,45,5,270,6,1414,45,0,0,18,9,90,0,0.0,0
granite,fault,40,highly weathered,0,72,12,210,9,1601,46,1,0,27,9,105,0,0.05,0
sandstone,bedding plane,46,slightly weathered,1,58,9,90,7,1251,84,1,1,24,7,139,0,0.07,0
granite,fault,35,slightly weathered,0,58,8,150,10,1759,60,1,0,24,9,72,0,0.04,0
basalt,dyke,65,fresh,0,50,12,270,9,2203,85,1,1,40,10,30,1,0.94,1
limestone,bedding plane,78,highly weathered,0,66,8,300,10,1653,50,1,1,37,10,90,1,0.76,1
granite,dyke,70,slightly weathered,1,69,14,210,9,1600,25,1,1,45,12,120,1,0.97,1
sandstone,bedding plane,35,slightly weathered,1,58,10,110,12,1906,80,1,0,38,9,125,0,0.12,0
sandstone,fault,95,highly weathered,1,58,7,190,6,2428,80,1,0,27,10,110,0,0.14,0
basalt,dyke,50,slightly weathered,0,58,7,60,13,1951,88,1,0,44,12,110,0,0.26,0
granite,fault,38,slightly weathered,0,66,10,210,13,1952,52,0,0,27,6,50,0,0.02,0
basalt,fault,15,slightly weathered,0,58,7,140,10,1600,35,0,0,20,6,10,0,0.0,0
limestone,dyke,45,slightly weathered,1,55,11,250,12,1600,65,1,0,40,5,100,0,0.2,0
granite,fault,50,slightly weathered,0,68,11,220,10,2025,30,1,1,32,10,90,1,0.72,1
granite,dyke,85,slightly weathered,1,71,10,90,9,1653,48,0,1,38,7,75,1,0.83,1
basalt,joint,35,fresh,0,50,8,120,13,1900,20,0,0,18,5,20,0,0.01,0
sandstone,fault,54,slightly weathered,1,69,7,330,9,1628,55,0,0,38,8,100,0,0.07,0
granite,fault,48,slightly weathered,1,64,13,100,9,2407,55,1,0,26,8,135,0,0.07,0
sandstone,bedding plane,55,highly weathered,1,60,9,180,9,1905,85,1,0,30,7,70,0,0.06,0
limestone,fault,70,highly weathered,0,60,7,330,9,1252,95,1,1,37,12,10,0,0.33,0
granite,fault,40,slightly weathered,0,68,8,135,6,1200,22,0,0,37,6,50,0,0.02,0
sandstone,fault,30,slightly weathered,0,67,7,200,6,957,15,1,0,20,4,150,0,0.01,0
granite,fault,75,slightly weathered,0,69,12,135,12,2009,50,1,0,32,7,30,1,0.74,1
sandstone,joint,25,fresh,0,74,13,150,6,1275,40,0,0,12,9,100,0,0.01,0
sandstone,fault,50,slightly weathered,1,74,15,250,14,2303,95,1,1,42,12,10,1,1.0,1
granite,fault,40,slightly weathered,0,55,7,210,9,1800,50,1,0,32,9,70,0,0.09,0
sandstone,joint,25,slightly weathered,0,65,6,300,7,1503,30,0,0,20,9,45,0,0.0,0
basalt,joint,35,slightly weathered,0,70,12,130,10,1802,60,1,1,40,10,30,1,0.97,1
granite,fault,40,slightly weathered,1,63,7,225,6,954,45,1,1,20,9,10,0,0.12,0
sandstone,joint,45,slightly weathered,0,62,7,210,9,1800,35,0,0,20,8,90,0,0.0,0
granite,bedding plane,55,slightly weathered,1,72,11,170,12,1654,45,1,1,47,7,85,0,0.26,0
sandstone,joint,55,fresh,0,46,5,45,8,2122,29,0,0,15,5,155,0,0.0,0
sandstone,bedding plane,55,slightly weathered,0,69,10,100,10,1600,36,0,0,30,8,95,0,0.01,0
granite,fault,55,slightly weathered,0,73,14,300,14,2409,80,1,1,23,9,40,1,0.81,1
basalt,fault,48,slightly weathered,1,69,9,330,9,1953,60,1,0,46,9,50,0,0.18,0
basalt,dyke,50,slightly weathered,0,54,14,0,9,1903,55,1,1,32,10,90,0,0.12,0
limestone,bedding plane,40,highly weathered,1,64,10,250,13,1702,60,1,0,32,9,65,1,0.77,1
limestone,bedding plane,60,highly weathered,0,66,9,60,8,2014,70,1,0,33,10,90,0,0.12,0
granite,fault,45,slightly weathered,1,65,10,120,10,1801,30,1,0,25,8,45,1,0.73,1
granite,fault,25,fresh,0,65,10,120,8,1801,30,0,0,45,8,45,0,0.17,0
granite,fault,22,slightly weathered,1,71,15,120,9,1651,67,1,0,33,8,135,1,0.68,0
limestone,joint,55,slightly weathered,0,60,10,310,9,2437,65,0,0,27,9,150,0,0.05,0
limestone,bedding plane,85,highly weathered,1,66,7,360,6,1900,55,1,0,38,7,95,0,0.1,0
limestone,bedding plane,55,highly weathered,1,74,8,180,10,2300,85,1,0,36,7,75,1,0.87,1
basalt,dyke,50,fresh,0,60,15,45,9,2022,25,0,0,30,9,120,0,0.07,0
limestone,dyke,80,slightly weathered,0,69,9,250,8,1958,58,0,0,44,7,105,0,0.12,0
basalt,joint,55,slightly weathered,0,60,13,300,11,1045,65,1,1,45,12,75,0,0.24,0
granite,dyke,43,slightly weathered,1,64,9,310,8,1254,25,1,0,23,4,180,0,0.02,0
limestone,fault,44,slightly weathered,1,65,9,90,9,1765,62,1,1,35,8,40,0,0.05,0
granite,fault,60,fresh,0,73,11,130,7,1402,49,0,0,37,9,100,0,0.02,0
basalt,joint,55,slightly weathered,0,73,14,85,14,1401,65,0,1,43,11,100,1,0.87,1
limestone,bedding plane,80,highly weathered,1,68,11,180,13,2409,75,1,1,48,10,15,1,1.0,1
limestone,dyke,40,highly weathered,1,69,15,110,10,2446,95,1,1,50,12,90,1,0.98,1
sandstone,fault,70,slightly weathered,1,50,8,350,11,2020,55,0,0,28,10,60,0,0.04,0
basalt,dyke,40,fresh,0,62,7,250,9,2122,30,1,1,25,6,20,1,0.76,1
limestone,bedding plane,50,highly weathered,1,77,9,200,9,2121,80,1,1,28,11,70,1,0.99,1
sandstone,dyke,20,slightly weathered,0,66,9,90,5,1553,15,0,0,15,11,2,0,0.05,0
granite,fault,40,slightly weathered,1,65,9,100,9,1752,85,1,0,30,8,45,0,0.17,0
sandstone,bedding plane,20,highly weathered,1,72,10,210,6,2120,80,1,1,45,12,5,1,0.99,1
sandstone,joint,30,fresh,0,55,7,300,13,1900,20,0,0,20,6,90,0,0.01,0
basalt,dyke,50,fresh,0,60,12,230,9,1422,35,0,0,18,7,80,0,0.0,0
basalt,joint,32,fresh,0,69,13,70,10,1459,32,0,1,40,10,82,0,0.1,0
basalt,dyke,75,fresh,0,72,11,240,7,1659,60,0,1,35,7,20,0,0.08,0
basalt,fault,55,slightly weathered,1,73,9,315,7,1802,65,1,1,42,12,70,1,0.84,1
basalt,dyke,50,slightly weathered,0,66,13,270,10,1601,52,0,0,25,7,75,0,0.03,0
basalt,joint,25,highly weathered,0,48,6,60,9,1311,12,0,0,28,4,180,0,0.0,0
granite,fault,25,fresh,0,62,12,60,9,1906,35,0,0,25,9,20,0,0.05,0
granite,fault,55,slightly weathered,0,65,8,225,12,1800,35,1,0,20,6,90,0,0.01,0
sandstone,fault,70,slightly weathered,1,66,9,110,9,1402,60,1,0,50,9,65,0,0.12,0
sandstone,fault,42,slightly weathered,0,58,7,120,7,902,15,0,0,18,5,130,0,0.0,0
basalt,dyke,81,fresh,0,52,8,120,10,1800,20,0,1,25,6,10,0,0.07,0
granite,bedding plane,65,slightly weathered,1,73,11,50,11,2107,60,1,0,35,7,60,0,0.09,0
sandstone,bedding plane,75,fresh,0,45,6,45,13,2121,25,0,0,19,5,120,0,0.03,0
granite,dyke,75,slightly weathered,0,72,12,200,8,1800,48,1,0,35,8,60,1,0.89,1
granite,fault,30,slightly weathered,1,68,15,125,6,1654,85,1,0,32,8,135,1,0.73,1
basalt,dyke,60,slightly weathered,1,72,7,60,14,2309,85,1,1,48,11,10,1,0.97,1
basalt,dyke,75,highly weathered,1,67,9,180,8,1961,80,1,0,46,9,95,0,0.24,0
limestone,bedding plane,65,highly weathered,1,69,9,330,12,2200,60,1,1,28,10,50,1,0.92,1
sandstone,dyke,55,slightly weathered,0,58,7,105,6,1957,15,0,0,29,4,105,0,0.0,0
limestone,bedding plane,40,highly weathered,0,69,13,45,14,1657,100,1,0,41,9,70,0,0.12,0
granite,dyke,50,slightly weathered,0,66,14,195,9,1417,40,0,0,38,9,110,0,0.01,0
limestone,bedding plane,45,highly weathered,0,58,6,290,14,2101,55,0,1,29,9,95,0,0.06,0
basalt,joint,80,fresh,0,70,8,250,7,2114,10,0,1,40,10,45,1,0.87,1
sandstone,joint,40,highly weathered,0,52,9,280,7,1503,40,0,0,20,10,15,1,0.66,0
limestone,joint,70,fresh,0,66,9,150,14,1319,32,0,1,20,9,15,0,0.05,0
limestone,dyke,65,slightly weathered,0,74,5,270,13,2429,98,1,1,42,11,130,1,0.89,1
limestone,fault,40,slightly weathered,1,69,7,240,6,2120,65,1,1,36,8,35,0,0.17,0
limestone,fault,70,highly weathered,1,72,11,130,8,1801,80,1,1,38,11,60,0,0.27,0
basalt,dyke,36,highly weathered,1,77,12,82,10,1800,81,0,1,29,7,8,1,0.85,1
granite,fault,18,fresh,0,67,14,300,14,1869,50,0,1,48,11,75,1,0.96,1
granite,fault,65,slightly weathered,1,72,9,160,11,1961,45,1,1,39,7,135,0,0.2,0
basalt,fault,20,slightly weathered,0,70,9,80,9,925,29,0,1,30,11,10,1,0.81,1
limestone,bedding plane,35,fresh,0,67,10,90,10,1418,30,0,0,22,8,105,0,0.02,0
basalt,joint,55,slightly weathered,0,58,12,30,9,2309,45,0,1,38,10,75,1,0.69,0
limestone,bedding plane,50,slightly weathered,0,66,7,225,8,1701,55,0,1,44,10,75,0,0.04,0
granite,fault,55,slightly weathered,0,69,11,330,9,1254,35,0,0,30,6,55,0,0.04,0
basalt,joint,60,slightly weathered,0,66,8,275,7,2111,60,0,0,49,7,20,0,0.16,0
sandstone,joint,55,slightly weathered,0,73,15,45,14,1411,60,0,0,18,5,120,0,0.03,0
limestone,joint,75,highly weathered,1,72,12,170,8,1800,55,1,1,40,10,45,1,0.93,1
granite,dyke,85,fresh,0,74,14,15,7,2106,8,1,1,42,12,10,1,0.95,1
granite,fault,20,slightly weathered,0,59,10,180,11,1702,40,1,0,38,8,75,0,0.1,0
granite,fault,35,fresh,0,55,14,350,14,2120,70,1,1,45,11,30,1,0.96,1
granite,fault,70,slightly weathered,0,58,13,155,13,2061,55,1,0,30,8,85,0,0.05,0
limestone,bedding plane,70,slightly weathered,0,59,8,330,10,2001,60,1,0,36,11,70,0,0.11,0
granite,fault,40,slightly weathered,1,75,10,330,9,2118,65,1,0,37,6,55,0,0.1,0
limestone,bedding plane,65,highly weathered,1,73,14,330,7,2303,95,1,1,48,12,20,1,0.99,1
limestone,fault,55,highly weathered,1,68,13,190,12,1703,70,1,0,39,10,40,0,0.29,0
limestone,bedding plane,25,highly weathered,1,72,8,220,7,1802,90,1,0,25,6,120,1,0.8,1
granite,fault,80,fresh,0,68,13,240,11,2500,50,0,1,40,12,120,1,0.93,1
basalt,joint,35,slightly weathered,1,69,10,210,9,1417,50,1,0,42,10,70,0,0.09,0
sandstone,bedding plane,20,highly weathered,1,66,12,300,9,1953,50,1,0,30,9,95,1,0.8,1
limestone,bedding plane,80,highly weathered,1,60,14,300,7,2014,95,1,1,45,9,120,1,0.99,1
basalt,dyke,65,slightly weathered,1,74,5,330,9,1658,80,1,1,44,10,125,0,0.23,0
sandstone,joint,70,slightly weathered,1,55,7,45,8,2113,55,0,0,22,6,150,0,0.03,0
sandstone,fault,85,fresh,1,47,6,210,13,1601,20,0,0,12,7,70,0,0.02,0
granite,fault,30,slightly weathered,0,68,10,240,11,1500,40,1,1,30,8,120,0,0.12,0
limestone,bedding plane,70,highly weathered,0,74,9,250,12,1912,80,1,1,48,12,50,1,0.99,1
limestone,fault,70,highly weathered,1,68,12,270,12,1859,55,1,0,47,11,60,1,0.89,1
sandstone,joint,35,slightly weathered,0,69,7,280,14,1600,12,0,0,44,8,25,0,0.09,0
granite,fault,40,slightly weathered,1,67,10,150,10,1413,60,1,0,30,6,55,1,0.73,1
sandstone,fault,15,highly weathered,1,69,7,80,6,2110,95,1,1,42,5,160,1,0.9,1
basalt,joint,55,slightly weathered,1,64,8,330,6,1422,35,0,0,23,5,70,0,0.0,0
basalt,dyke,55,slightly weathered,0,62,6,200,9,2203,58,0,0,25,5,120,0,0.0,0
sandstone,bedding plane,53,fresh,0,47,6,80,7,1883,24,0,1,20,6,105,0,0.0,0
sandstone,joint,80,highly weathered,1,67,10,350,10,2010,75,1,0,43,6,90,1,0.87,1
sandstone,bedding plane,60,highly weathered,1,58,8,210,7,1903,65,1,1,30,10,55,0,0.21,0
granite,fault,45,slightly weathered,0,62,6,105,8,987,20,0,0,22,8,95,0,0.0,0
granite,fault,80,fresh,0,72,11,240,7,2026,65,1,1,37,7,20,1,0.81,1
limestone,bedding plane,52,fresh,0,55,7,270,7,2115,60,0,0,25,10,10,0,0.02,0
limestone,fault,80,fresh,0,60,14,250,6,1600,90,1,1,40,12,10,1,0.98,1
granite,fault,45,slightly weathered,0,60,10,250,9,2011,58,1,1,36,9,50,0,0.11,0
sandstone,fault,35,slightly weathered,1,65,10,60,13,1501,75,1,1,50,12,20,1,0.97,1
granite,fault,38,slightly weathered,1,73,11,110,10,1559,65,0,1,32,6,35,0,0.11,0
sandstone,fault,58,slightly weathered,0,59,7,45,6,1904,47,1,0,22,9,120,0,0.01,0
limestone,fault,12,highly weathered,1,48,6,330,14,2305,86,1,1,29,5,162,0,0.09,0
basalt,dyke,55,fresh,0,73,15,180,9,2308,50,0,1,38,10,15,1,0.88,1
basalt,fault,15,fresh,0,58,6,340,9,952,15,0,0,18,5,95,0,0.0,0
limestone,fault,51,slightly weathered,0,67,9,230,8,1600,30,0,0,22,8,80,0,0.02,0
basalt,fault,70,fresh,0,55,12,220,11,2030,53,0,1,44,10,150,1,0.88,1
granite,fault,50,slightly weathered,0,72,13,120,9,2110,60,1,0,22,5,90,0,0.02,0
granite,dyke,45,slightly weathered,0,66,9,130,10,1655,22,1,0,30,7,45,0,0.08,0
sandstone,joint,44,slightly weathered,1,60,9,150,12,1912,65,1,0,35,7,130,1,0.74,1
basalt,dyke,42,fresh,0,57,7,250,9,1911,65,0,1,33,9,95,1,0.67,0
limestone,fault,45,slightly weathered,0,60,10,250,9,1503,45,1,0,35,8,60,1,0.82,1
granite,fault,65,slightly weathered,0,74,15,240,13,1703,55,1,0,37,8,5,1,0.76,1
limestone,fault,50,slightly weathered,0,60,7,150,10,1601,65,0,0,25,7,75,0,0.01,0
basalt,fault,30,slightly weathered,1,69,12,185,8,961,30,1,1,22,7,45,1,0.83,1
basalt,joint,55,slightly weathered,0,60,9,80,8,1600,60,0,1,35,6,30,0,0.14,0
sandstone,joint,50,fresh,0,67,15,330,9,2311,60,0,0,33,5,25,0,0.12,0
basalt,bedding plane,60,slightly weathered,1,66,11,195,9,1902,45,1,0,32,12,20,0,0.16,0
granite,fault,25,slightly weathered,0,66,14,240,13,1601,60,1,0,33,10,5,0,0.25,0
basalt,dyke,65,slightly weathered,0,55,14,120,6,2007,70,0,1,40,9,120,1,0.81,1
sandstone,bedding plane,80,slightly weathered,1,66,14,150,14,1703,35,0,1,38,7,40,0,0.09,0
limestone,bedding plane,55,slightly weathered,1,69,9,210,12,1653,50,1,0,29,7,70,0,0.08,0
limestone,bedding plane,55,fresh,0,67,15,330,11,1650,20,0,0,33,9,25,1,0.72,1
limestone,fault,85,slightly weathered,0,60,14,330,13,2010,80,1,0,30,11,150,1,0.77,1
granite,fault,30,slightly weathered,1,65,10,45,11,1317,50,1,1,30,9,45,0,0.23,0
basalt,dyke,65,slightly weathered,1,69,14,210,10,1655,42,1,1,47,10,55,1,0.86,1
basalt,fault,60,highly weathered,1,70,8,300,9,2201,85,1,1,30,12,120,1,0.97,1
granite,fault,50,slightly weathered,1,69,12,330,13,1914,75,1,0,27,8,50,0,0.09,0
granite,fault,65,slightly weathered,1,58,11,250,12,1507,65,1,1,33,9,75,0,0.05,0
granite,fault,55,slightly weathered,0,62,13,200,11,1904,40,0,1,34,8,130,0,0.01,0
limestone,bedding plane,58,highly weathered,1,71,9,338,12,1418,78,1,1,41,12,160,1,0.99,1
granite,fault,35,fresh,0,58,8,330,13,2202,10,1,0,25,5,90,0,0.01,0
limestone,bedding plane,55,fresh,0,66,11,125,7,1411,52,0,0,37,7,100,0,0.01,0
sandstone,joint,35,slightly weathered,0,55,9,80,12,1600,40,0,0,20,6,20,0,0.0,0
granite,fault,55,fresh,0,62,9,270,8,1901,35,0,0,22,9,75,0,0.01,0
sandstone,bedding plane,55,fresh,1,74,15,200,14,2016,36,1,0,49,12,25,1,0.95,1
limestone,fault,55,slightly weathered,0,62,7,100,9,1555,30,0,0,23,9,75,0,0.0,0
granite,dyke,90,fresh,0,67,10,250,9,1876,55,1,1,33,9,80,1,0.73,1
sandstone,joint,25,slightly weathered,0,62,6,150,8,1313,28,0,0,21,6,35,0,0.0,0
limestone,bedding plane,25,slightly weathered,0,60,7,190,10,1701,55,1,0,30,8,90,0,0.13,0
limestone,dyke,35,fresh,0,60,7,250,8,1700,50,0,0,21,10,15,1,0.74,1
basalt,dyke,40,fresh,0,55,9,95,10,1656,10,0,0,15,8,60,0,0.02,0
granite,fault,44,highly weathered,1,74,15,330,13,1654,90,1,1,44,11,150,1,0.99,1
limestone,bedding plane,35,slightly weathered,0,68,14,300,11,2121,70,1,1,44,10,95,0,0.27,0
limestone,bedding plane,55,highly weathered,1,60,8,180,11,2109,70,1,1,40,11,10,1,0.99,1
granite,fault,25,highly weathered,1,73,7,330,7,2303,85,1,1,43,12,10,1,1.0,1
sandstone,fault,25,slightly weathered,1,68,13,100,11,2122,35,1,1,32,12,50,1,0.8,1
sandstone,fault,35,slightly weathered,0,60,8,250,10,1651,32,0,0,27,6,25,0,0.01,0
limestone,bedding plane,62,highly weathered,1,73,9,125,7,1422,62,1,0,40,9,40,1,0.76,1
limestone,fault,27,highly weathered,1,52,12,214,7,954,19,1,1,24,12,136,0,0.14,0
sandstone,bedding plane,35,highly weathered,1,74,11,40,13,1601,70,1,0,50,12,20,1,0.91,1
sandstone,fault,56,highly weathered,1,55,13,252,14,2115,60,1,1,43,11,12,1,0.99,1
basalt,dyke,50,fresh,0,63,7,135,10,1197,15,0,1,32,11,10,1,0.83,1
granite,fault,35,slightly weathered,1,72,6,150,7,1402,55,0,0,32,9,35,0,0.1,0
sandstone,bedding plane,60,highly weathered,1,55,8,180,12,2009,80,1,0,25,6,65,0,0.06,0
sandstone,bedding plane,15,highly weathered,1,74,13,65,6,2307,95,1,1,48,12,20,1,0.99,1
sandstone,fault,50,slightly weathered,1,62,15,135,10,1552,80,1,1,22,12,70,1,0.93,1
granite,bedding plane,95,slightly weathered,0,74,7,200,8,1417,40,0,1,36,5,180,1,0.8,1
limestone,bedding plane,50,highly weathered,1,70,14,9,7,2200,90,1,1,45,9,60,1,0.96,1
basalt,fault,45,slightly weathered,0,60,6,120,7,986,20,0,0,28,4,105,0,0.0,0
limestone,dyke,55,fresh,0,71,11,95,14,1900,30,0,1,36,9,25,1,0.75,1
granite,fault,70,slightly weathered,1,68,15,300,9,1702,55,0,0,42,10,120,1,0.86,1
sandstone,bedding plane,70,highly weathered,1,47,6,330,6,1901,35,1,0,10,5,120,0,0.01,0
limestone,bedding plane,43,highly weathered,1,69,9,154,12,2123,85,1,1,30,9,9,1,0.98,1
basalt,joint,85,fresh,1,50,14,330,14,1324,10,0,0,20,5,90,0,0.03,0
limestone,dyke,30,slightly weathered,0,49,9,250,10,1600,75,0,1,25,7,5,0,0.1,0
limestone,fault,72,slightly weathered,1,73,15,160,12,2023,88,1,1,41,9,50,1,0.99,1
limestone,fault,20,highly weathered,1,73,8,45,7,1302,90,1,1,45,6,60,1,0.88,1
granite,fault,25,fresh,0,58,5,180,10,1409,22,0,0,23,5,10,0,0.0,0
granite,bedding plane,45,slightly weathered,1,58,6,135,5,1138,25,0,0,22,4,100,0,0.0,0
granite,fault,55,slightly weathered,0,67,15,195,9,1451,60,1,0,38,7,100,1,0.59,0
limestone,bedding plane,65,highly weathered,1,71,7,180,9,2303,75,1,0,37,9,40,0,0.13,0
granite,dyke,35,fresh,1,69,15,330,15,1702,35,1,0,33,9,40,0,0.1,0
basalt,dyke,12,slightly weathered,0,73,14,180,12,1957,65,0,1,36,7,165,0,0.13,0
granite,fault,40,slightly weathered,1,68,9,250,10,1561,55,1,0,38,7,120,1,0.69,0
limestone,fault,33,highly weathered,0,53,6,330,12,2107,86,1,1,44,11,125,1,0.89,1
sandstone,bedding plane,70,highly weathered,1,72,8,105,10,1408,35,1,1,25,6,90,0,0.12,0
sandstone,fault,10,fresh,0,73,15,300,13,2116,30,0,1,42,7,150,1,0.84,1
basalt,fault,20,fresh,0,72,12,190,11,2111,55,1,1,42,11,20,1,0.94,1
sandstone,dyke,65,fresh,0,55,14,340,14,1255,20,0,0,33,9,110,0,0.05,0
limestone,fault,50,slightly weathered,0,72,10,150,14,2123,78,1,1,44,7,59,1,0.93,1
sandstone,dyke,18,highly weathered,1,55,6,6,6,2445,60,1,1,20,5,160,1,0.8,1
granite,fault,75,fresh,0,45,6,45,7,2119,35,0,0,19,5,40,0,0.0,0
sandstone,bedding plane,25,highly weathered,1,73,9,60,14,1903,95,1,0,28,7,10,1,0.88,1
limestone,dyke,45,fresh,0,66,14,250,13,1401,70,0,0,38,7,20,1,0.62,0
sandstone,joint,15,slightly weathered,0,55,6,330,8,1505,50,0,0,20,5,90,0,0.01,0
basalt,dyke,50,slightly weathered,1,73,14,60,15,2012,85,1,0,36,10,45,1,0.85,1
